user_id,platform,post_text,likes,comments,timestamp,followers,followees,sentiment,snmd_type
u001,Facebook,Feeling anxious and tired lately.,232,37,2025-05-12 11:53:20,176,839,negative,Normal
u001,Instagram,Had a great time with friends today!,293,44,2025-05-12 17:53:20,121,436,positive,Normal
u001,Facebook,Overwhelmed and can't focus.,219,27,2025-05-12 19:53:20,701,837,negative,Normal
u001,Instagram,Had a great time with friends today!,278,41,2025-05-13 02:53:20,626,404,positive,Normal
u001,Instagram,Nothing seems right anymore.,164,44,2025-05-12 15:53:20,169,876,negative,Normal
u001,Instagram,Enjoying every moment of life.,188,42,2025-05-13 17:53:20,328,811,positive,Normal
u001,Facebook,Feeling anxious and tired lately.,297,30,2025-05-12 23:53:20,295,681,negative,Normal
u001,Instagram,Feeling blessed and happy.,289,49,2025-05-13 22:53:20,793,411,positive,Normal
u001,Facebook,Feeling anxious and tired lately.,108,4,2025-05-13 03:53:20,416,383,negative,Normal
u001,Facebook,Smiling through the little joys.,145,4,2025-05-13 14:53:20,686,685,positive,Normal
u001,Facebook,Overwhelmed and can't focus.,144,31,2025-05-13 17:53:20,397,893,negative,Normal
u001,Instagram,Feeling anxious and tired lately.,192,48,2025-05-14 07:53:20,705,700,negative,Normal
u001,Facebook,Nothing seems right anymore.,200,19,2025-05-14 11:53:20,788,818,negative,Normal
u001,Facebook,Smiling through the little joys.,226,49,2025-05-15 17:53:20,966,835,positive,Normal
u001,Instagram,Overwhelmed and can't focus.,247,41,2025-05-14 19:53:20,991,383,negative,Normal
u001,Facebook,I feel so disconnected from everyone.,158,4,2025-05-15 14:53:20,367,300,negative,Normal
u001,Instagram,Enjoying every moment of life.,80,13,2025-05-16 11:53:20,473,275,positive,Normal
u001,Instagram,Had a great time with friends today!,237,6,2025-05-14 14:53:20,986,825,positive,Normal
u001,Facebook,Overwhelmed and can't focus.,162,28,2025-05-16 05:53:20,549,161,negative,Normal
u001,Facebook,Nothing seems right anymore.,20,13,2025-05-16 10:53:20,903,691,negative,Normal
u001,Instagram,Enjoying every moment of life.,47,48,2025-05-14 23:53:20,443,861,positive,Normal
u001,Facebook,Feeling anxious and tired lately.,232,16,2025-05-15 23:53:20,515,186,negative,Normal
